method,placement_id,x,y,state,yaw_deg,task_success,lift_contact_success,termination,final_lift_m,ik_failures,wrist_p95_m,max_actual_accel
fixed,0,0.3,-0.6,initialization_screen_failed,,,,,,,,
fixed,1,0.4,-0.6,initialization_screen_failed,,,,,,,,
fixed,2,0.3,-0.44999999999999996,not_evaluated,0.0,,,,,,,
fixed,3,0.4,-0.44999999999999996,not_evaluated,0.0,,,,,,,
fixed,4,0.5,-0.44999999999999996,not_evaluated,0.0,,,,,,,
fixed,5,0.6000000000000001,-0.44999999999999996,initialization_screen_failed,,,,,,,,
fixed,6,0.3,-0.29999999999999993,not_evaluated,0.0,,,,,,,
fixed,7,0.4,-0.29999999999999993,not_evaluated,0.0,,,,,,,
fixed,8,0.5,-0.29999999999999993,not_evaluated,0.0,,,,,,,
fixed,9,0.6000000000000001,-0.29999999999999993,not_evaluated,0.0,,,,,,,
fixed,10,0.3,-0.1499999999999999,not_evaluated,0.0,,,,,,,
fixed,11,0.4,-0.1499999999999999,not_evaluated,0.0,,,,,,,
fixed,12,0.5,-0.1499999999999999,not_evaluated,0.0,,,,,,,
fixed,13,0.6000000000000001,-0.1499999999999999,not_evaluated,0.0,,,,,,,
fixed,14,0.7000000000000002,-0.1499999999999999,not_evaluated,0.0,,,,,,,
fixed,15,0.3,1.1102230246251565e-16,initialization_screen_failed,,,,,,,,
fixed,16,0.4,1.1102230246251565e-16,not_evaluated,0.0,,,,,,,
fixed,17,0.5,1.1102230246251565e-16,not_evaluated,0.0,,,,,,,
fixed,18,0.6000000000000001,1.1102230246251565e-16,not_evaluated,0.0,,,,,,,
fixed,19,0.7000000000000002,1.1102230246251565e-16,not_evaluated,0.0,,,,,,,
fixed,20,0.3,0.15000000000000013,initialization_screen_failed,,,,,,,,
fixed,21,0.4,0.15000000000000013,not_evaluated,0.0,,,,,,,
fixed,22,0.5,0.15000000000000013,not_evaluated,0.0,,,,,,,
fixed,23,0.6000000000000001,0.15000000000000013,not_evaluated,0.0,,,,,,,
fixed,24,0.7000000000000002,0.15000000000000013,not_evaluated,0.0,,,,,,,
fixed,25,0.3,0.30000000000000016,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.2213825937360525,0,0.0391782708466053,185.79700469970703
fixed,26,0.4,0.30000000000000016,grasp,0.0,True,True,"{""time_out"": false, ""demo_end_reached"": true, ""success"": true, ""object_deviation"": false, ""hand_far_from_object"": false}",0.22208922170102596,0,0.040779278799891475,236.6898250579834
